30
0,1,2
5,13,26
5,11,28
5,16,23
5,18,21
8,19,29
5,15,21
8,18,29
8,20,28
5,14,24
5,19,20
5,17,23
5,13,27
5,18,22
5,12,26
8,20,29
5,19,21
8,21,22
5,14,25
5,18,23
5,12,27
5,16,25
5,13,28
5,17,24
5,14,26
8,21,23
5,15,22
5,12,28
5,11,29
5,16,26
5,19,23
5,17,25
5,13,29
8,21,24
5,14,27
5,12,29
5,15,23
5,18,24
8,22,23
5,16,27
5,17,26
8,11,27
5,14,28
0,1,23
8,21,25
5,15,24
8,11,28
5,16,28
5,19,25
5,17,27
5,20,21
8,21,26
8,23,24
5,16,29
8,22,25
5,19,26
5,17,28
5,20,22
8,11,29
0,1,25
5,15,25
8,21,27
8,22,26
8,23,25
5,17,29
5,20,23
5,15,26
5,19,27
5,21,22
8,21,28
0,1,26
8,22,27
8,23,26
5,20,24
5,19,28
8,24,25
5,15,27
8,21,29
8,23,27
8,22,28
0,1,27
5,19,29
8,24,26
5,21,23
5,20,25
5,15,28
5,18,26
8,23,28
0,1,28
5,22,23
8,24,27
5,20,26
5,21,24
5,15,29
5,18,27
8,22,29
8,23,29
0,1,29
8,24,28
5,20,27
8,25,26
5,21,25
5,22,25
8,25,27
8,24,29
5,20,28
5,21,26
5,18,28
8,15,20
5,23,24
6,7,23
8,25,28
5,21,27
5,20,29
5,18,29
8,15,21
5,23,25
6,7,24
8,26,27
5,22,26
8,25,29
5,21,28
5,23,26
6,7,25
8,15,22
4,5,23
5,22,27
8,26,28
8,13,19
5,7,19
5,21,29
5,24,25
5,22,28
4,5,24
8,26,29
8,13,20
8,15,23
6,7,26
8,27,28
5,24,26
5,23,27
4,5,25
8,13,21
5,7,21
6,7,27
5,24,27
8,27,29
5,22,29
5,23,28
8,15,24
8,13,22
4,5,26
5,25,26
5,24,28
5,23,29
8,12,17
8,28,29
8,15,25
8,13,23
5,25,27
4,5,27
5,7,22
5,24,29
8,15,26
8,12,18
5,25,28
8,13,24
5,7,23
4,5,28
6,7,28
5,26,27
4,6,14
5,26,28
8,13,25
8,15,27
6,7,29
4,5,29
5,7,24
5,25,29
5,27,28
5,26,29
8,15,28
8,12,20
5,7,25
8,13,26
8,9,15
8,10,15
1,2,11
4,6,15
7,8,12
5,27,29
8,12,21
5,7,26
8,9,16
8,10,16
1,2,12
4,6,16
8,15,29
8,13,27
2,3,10
5,7,27
8,9,17
8,10,17
1,2,13
4,6,17
8,13,28
5,7,28
8,12,23
2,3,11
7,8,14
3,4,9
8,9,18
4,6,18
1,2,14
5,28,29
5,7,29
8,13,29
2,3,12
4,6,19
8,9,19
3,4,10
1,2,15
7,8,15
8,10,19
2,3,13
8,9,20
4,6,20
1,2,16
8,10,20
8,12,25
7,8,16
3,4,11
2,3,14
8,9,21
4,6,21
8,12,26
1,2,17
3,4,12
8,9,22
4,6,22
2,3,15
8,12,27
8,10,21
3,4,13
2,3,16
7,9,10
9,10,11
8,12,28
8,10,22
10,11,12
3,4,14
6,8,9
1,5,6
8,10,23
3,4,15
10,11,13
11,12,13
6,8,10
1,5,7
8,12,29
9,10,12
7,10,11
9,11,12
1,5,8
1,6,7
12,13,15
6,8,11
11,12,14
6,9,10
7,10,12
9,10,13
1,5,9
6,9,11
11,12,15
6,8,12
12,14,15
9,10,14
1,5,10
6,9,12
12,13,17
6,10,11
9,10,15
1,7,8
1,5,11
7,10,14
6,9,13
11,12,17
12,13,18
11,14,15
7,10,15
6,9,14
11,12,18
1,5,12
1,7,9
6,10,12
11,14,16
12,15,17
6,9,15
6,11,12
1,5,13
1,8,9
6,10,13
11,15,16
12,15,18
11,14,17
1,7,10
12,13,20
6,11,13
1,5,14
6,10,14
1,8,10
12,13,21
11,14,18
1,7,11
6,12,13
6,11,14
1,5,15
11,15,17
1,7,12
1,8,11
1,9,10
11,16,17
6,12,14
6,11,15
12,17,18
12,13,23
1,8,12
11,15,18
1,5,16
11,16,18
6,12,15
6,11,16
1,8,13
1,5,17
11,15,19
1,7,14
11,17,18
1,8,14
1,5,18
11,15,20
1,7,15
1,10,11
12,13,25
6,12,17
1,8,15
1,5,19
11,17,19
11,15,21
1,7,16
6,14,15
12,13,26
12,18,20
1,8,16
6,12,18
11,17,20
1,10,12
11,18,19
12,13,27
12,18,21
6,14,16
1,8,17
11,15,22
11,18,20
11,17,21
1,10,13
1,7,18
12,13,28
6,15,16
11,15,23
1,8,18
11,18,21
6,14,17
11,19,20
1,10,14
1,7,19
11,15,24
1,8,19
11,18,22
12,18,23
11,19,21
1,10,15
6,14,18
12,20,21
6,15,17
11,15,25
11,18,23
1,10,16
6,16,17
1,7,21
6,15,18
11,15,26
11,18,24
11,20,21
6,14,19
6,16,18
11,19,23
6,15,19
11,15,27
1,7,22
11,20,22
6,14,20
12,20,23
6,17,18
1,7,23
11,15,28
11,20,23
11,21,22
12,21,23
6,14,21
11,15,29
6,17,19
1,7,24
11,21,23
11,20,24
12,20,25
11,19,25
6,14,22
6,17,20
11,20,25
1,7,25
11,21,24
6,18,19
11,22,23
12,20,26
6,14,23
1,7,26
11,20,26
11,19,26
6,18,20
11,21,25
12,21,25
6,17,21
12,20,27
6,14,24
11,20,27
1,7,27
11,21,26
6,17,22
6,18,21
6,19,20
12,20,28
11,20,28
6,14,25
1,7,28
11,23,24
11,21,27
12,21,26
11,19,27
6,19,21
6,14,26
11,20,29
12,20,29
6,18,22
1,7,29
12,21,27
11,23,25
11,19,28
11,21,28
6,17,23
6,20,21
12,21,28
11,19,29
11,23,26
11,21,29
6,20,22
6,19,23
6,17,24
11,24,25
12,21,29
6,18,23
11,23,27
6,20,23
11,24,26
6,18,24
6,17,25
6,14,27
12,25,26
6,21,22
6,20,24
6,19,25
11,24,27
11,25,26
6,17,26
12,25,27
6,21,23
11,24,28
6,20,25
6,14,28
6,19,26
11,25,27
6,18,26
6,17,27
6,21,24
6,20,26
12,25,28
11,25,28
6,22,23
6,19,27
11,24,29
6,17,28
6,21,25
11,26,27
12,25,29
6,20,27
6,18,27
11,23,28
11,25,29
12,26,27
6,19,28
6,20,28
11,23,29
6,18,28
6,22,25
11,26,28
6,21,26
6,23,24
12,26,28
6,20,29
6,18,29
6,22,26
11,26,29
6,23,25
6,21,27
12,26,29
6,19,29
6,17,29
12,23,25
12,27,28
6,21,28
6,23,26
12,23,26
6,22,27
6,24,25
6,23,27
12,23,27
12,27,29
11,27,28
6,24,26
6,22,28
6,21,29
6,16,20
11,22,25
12,23,28
6,23,28
6,15,20
12,28,29
6,24,27
6,25,26
11,22,26
12,23,29
6,23,29
6,15,21
6,24,28
11,28,29
6,25,27
11,22,27
6,22,29
6,16,21
6,24,29
11,22,28
6,25,28
6,15,22
11,27,29
6,26,27
6,16,23
1,10,17
11,18,26
6,26,28
6,25,29
6,15,23
1,8,20
11,22,29
12,13,29
11,17,22
11,18,27
6,27,28
6,15,24
1,8,21
11,17,23
1,10,19
6,16,25
12,18,26
6,15,25
11,18,28
6,26,29
1,8,22
6,27,29
1,10,20
6,16,26
12,18,27
11,18,29
6,15,26
1,8,23
6,12,20
6,28,29
12,18,28
1,10,21
11,17,24
6,16,27
1,8,24
6,15,27
1,10,22
6,12,21
1,5,20
12,18,29
11,17,25
6,16,28
1,8,25
6,15,28
1,10,23
11,16,20
6,16,29
11,17,26
1,5,21
1,8,26
6,11,17
6,15,29
6,13,15
11,16,21
6,12,23
1,10,24
11,17,27
1,11,12
1,8,27
6,13,16
6,11,18
1,5,22
11,17,28
1,11,13
6,13,17
6,11,19
1,8,28
1,9,11
1,5,23
1,11,14
11,16,23
1,10,26
11,17,29
1,12,13
6,13,18
6,11,20
12,17,20
1,10,27
1,9,12
1,5,24
1,11,15
6,12,25
6,11,21
12,17,21
6,13,19
1,12,14
1,5,25
1,10,28
11,16,25
1,11,16
6,12,26
6,13,20
1,9,13
6,11,22
1,5,26
1,12,15
1,8,29
12,15,20
1,11,17
1,10,29
6,11,23
11,16,26
12,17,23
1,5,27
6,13,21
12,15,21
1,11,18
1,13,15
1,9,14
6,11,24
11,16,27
1,5,28
1,13,16
1,11,19
6,11,25
1,9,15
1,14,15
1,12,17
12,17,25
1,5,29
1,12,18
1,9,16
1,11,20
12,15,23
11,16,28
1,14,16
6,11,26
1,15,16
1,13,17
12,17,26
6,13,22
6,12,27
1,15,17
1,13,18
6,11,27
1,14,17
11,16,29
1,9,17
1,11,21
12,17,27
6,12,28
11,14,19
6,13,23
1,15,18
1,9,18
11,14,20
6,12,29
1,12,20
1,16,17
1,11,22
1,14,18
6,13,24
12,15,25
12,17,28
6,11,28
1,13,19
11,14,21
1,12,21
1,14,19
6,13,25
12,17,29
6,11,29
1,13,20
1,16,18
12,15,26
1,11,23
1,15,19
1,9,19
6,13,26
1,13,21
1,11,24
1,17,18
1,15,20
1,9,20
12,15,27
1,12,23
1,13,22
1,14,20
6,13,27
11,14,22
1,9,21
12,15,28
1,15,21
1,16,20
1,11,25
1,17,19
1,14,21
6,13,28
1,13,23
6,9,16
11,14,23
6,10,15
1,18,19
12,15,29
1,17,20
1,14,22
11,14,24
1,12,25
1,16,21
6,9,17
6,10,16
6,13,29
1,18,20
1,13,24
1,17,21
1,11,26
1,14,23
6,9,18
6,10,17
1,12,26
11,14,25
1,17,22
1,11,27
1,13,25
1,18,21
1,9,22
1,19,20
11,14,26
1,17,23
6,9,19
1,12,27
1,19,21
1,14,24
1,18,22
1,13,26
1,9,23
1,11,28
1,16,23
1,15,22
1,17,24
6,10,19
1,12,28
1,14,25
1,20,21
1,11,29
1,13,27
1,18,23
1,9,24
6,9,20
6,10,20
1,17,25
1,15,23
1,13,28
1,9,25
1,18,24
6,10,21
6,9,21
1,17,26
1,20,22
1,14,26
1,16,25
1,15,24
1,12,29
1,13,29
6,9,22
1,21,22
6,10,22
1,17,27
1,16,26
1,15,25
1,18,26
1,21,23
1,20,23
6,9,23
1,14,27
1,16,27
1,17,28
6,10,23
1,9,26
1,18,27
1,22,23
1,14,28
6,9,24
1,20,24
1,16,28
1,17,29
6,10,24
1,19,23
1,15,26
1,18,28
1,9,27
1,21,24
11,14,27
1,20,25
1,16,29
1,9,28
6,9,25
1,21,25
1,20,26
1,15,27
11,14,28
1,18,29
1,23,24
1,21,26
6,9,26
1,9,29
1,20,27
1,15,28
1,22,25
1,23,25
11,12,20
6,9,27
1,19,25
1,21,27
1,20,28
1,15,29
6,10,26
1,22,26
1,21,28
6,9,28
1,19,26
1,23,26
11,12,21
1,20,29
1,22,27
9,10,16
6,10,27
7,10,16
12,14,17
1,24,25
1,19,27
6,9,29
1,23,27
1,22,28
9,10,17
11,12,23
12,14,18
6,10,28
1,24,26
1,19,28
1,23,28
1,22,29
1,21,29
1,24,27
6,10,29
1,19,29
9,10,19
7,10,19
1,23,29
1,25,26
1,24,28
12,14,20
11,12,25
9,10,20
1,25,27
1,24,29
12,14,21
6,8,13
11,12,26
7,10,21
11,13,15
1,6,8
9,10,21
1,25,28
6,8,14
9,11,13
7,10,22
9,10,22
11,12,27
11,13,16
6,8,15
1,6,9
1,25,29
1,26,27
7,10,23
12,14,23
10,11,14
9,10,23
11,13,17
1,6,10
10,11,15
9,12,13
7,10,24
1,26,28
6,8,16
11,12,28
9,10,24
9,11,14
6,8,17
1,6,11
9,12,14
11,12,29
12,14,25
1,26,29
10,11,16
9,11,15
11,13,18
1,6,12
6,8,18
12,14,26
10,11,17
9,11,16
1,27,28
11,13,19
7,10,26
6,8,19
1,6,13
9,10,26
12,14,27
7,10,27
11,13,20
1,27,29
9,11,17
6,8,20
9,13,15
1,6,14
9,12,15
11,13,21
7,10,28
6,8,21
1,28,29
10,11,19
9,13,16
9,14,15
1,6,15
7,10,29
11,13,22
6,8,22
10,11,20
9,13,17
9,14,16
1,6,16
9,11,18
12,14,28
11,13,23
6,8,23
10,11,21
9,13,18
1,6,17
9,11,19
11,13,24
6,8,24
9,15,16
9,13,19
9,14,17
9,12,17
9,11,20
1,6,18
10,11,22
9,10,27
9,11,21
9,13,20
10,11,23
6,8,25
9,15,17
9,14,18
9,12,18
11,13,25
9,16,17
9,10,28
9,14,19
9,15,18
9,13,21
7,11,12
6,8,26
10,11,24
9,11,22
11,13,26
9,16,18
1,6,19
9,15,19
9,13,22
6,8,27
11,13,27
9,12,20
9,11,23
1,6,20
9,17,18
6,8,28
10,11,26
9,13,23
9,15,20
9,11,24
9,16,20
1,6,21
9,17,19
7,12,14
9,13,24
6,8,29
9,15,21
9,11,25
9,12,21
9,16,21
7,13
10,11,27
11,13,28
9,17,20
1,6,22
9,15,22
11,13,29
9,18,19
1,6,23
10,11,28
9,17,21
9,11,26
9,13,25
9,12,23
9,15,23
9,18,20
1,6,24
9,17,22
9,11,27
10,11,29
9,13,26
7,14,15
9,18,21
9,15,24
1,6,25
9,17,23
9,11,28
9,19,20
9,12,25
9,18,22
7,14,16
9,15,25
9,13,27
9,17,24
9,11,29
9,19,21
1,6,26
9,12,26
9,16,23
9,18,23
9,15,26
9,17,25
9,13,28
7,15,16
9,18,24
9,20,21
9,17,26
9,15,27
9,12,27
9,19,23
7,14,18
9,16,25
9,20,22
9,17,27
9,13,29
9,15,28
9,12,28
7,14,19
9,16,26
9,17,28
9,20,23
9,12,29
9,18,26
9,21,22
9,19,25
9,15,29
9,16,27
7,16,18
9,20,24
9,18,27
9,17,29
9,19,26
9,21,23
7,17
9,16,28
7,14,21
9,18,28
9,19,27
9,21,24
9,20,25
9,22,23
9,16,29
7,15,18
9,18,29
9,19,28
7,14,22
9,20,26
9,21,25
7,16,21
7,15,19
1,6,27
7,18,19
9,19,29
7,14,23
7,12,15
9,21,26
1,6,28
9,21,27
9,23,24
7,15,21
7,14,24
7,16,23
9,22,25
1,6,29
9,23,25
7,18,21
7,15,22
9,21,28
9,22,26
7,14,25
7,12,18
9,23,26
7,18,22
9,21,29
7,15,23
9,24,25
9,22,27
9,20,27
9,23,27
7,15,24
7,18,23
7,16,25
9,22,28
9,20,28
9,24,26
7,20
7,14,26
7,11,14
9,23,28
7,19,21
7,18,24
7,15,25
9,20,29
9,23,29
9,25,26
9,24,27
7,14,27
7,11,15
9,22,29
7,15,26
9,25,27
7,14,28
7,12,21
9,24,28
7,11,16
7,18,26
7,21,22
7,19,23
9,25,28
7,15,27
9,24,29
7,18,27
9,26,27
9,25,29
7,15,28
7,21,23
7,16,26
9,14,20
7,19,25
9,26,28
7,18,28
7,12,23
7,22,23
7,16,27
7,21,24
7,15,29
9,14,21
7,18,29
9,26,29
7,19,26
7,11,18
7,16,28
7,21,25
9,27,28
7,22,25
7,11,19
7,12,25
7,19,27
7,23,24
7,21,26
9,27,29
7,16,29
9,14,22
7,19,28
7,21,27
9,14,23
7,12,26
7,23,25
7,19,29
9,28,29
7,22,26
7,11,21
7,21,28
9,10,29
8,10,24
7,12,27
7,24,25
7,11,22
7,22,27
7,23,26
7,21,29
7,24,26
7,12,28
7,22,28
9,14,24
3,4,16
8,10,26
7,11,23
7,9,11
7,24,27
7,12,29
7,23,27
9,14,25
3,4,17
2,3,17
7,25,26
7,11,24
7,9,12
8,10,27
7,22,29
7,24,28
2,3,18
7,11,25
3,4,18
7,23,28
7,25,27
8,10,28
9,14,26
7,23,29
7,11,26
3,4,19
8,10,29
7,25,28
7,24,29
7,26,27
9,14,27
7,11,27
7,25,29
7,26,28
9,14,28
13,14
3,4,20
10,12,13
14,15,16
10,12,14
7,27,28
3,4,21
15,16,17
7,26,29
10,12,15
16,17,18
7,27,29
3,4,22
14,15,17
17,18,19
13,15,16
18,19,20
15,16,18
19,20,21
7,28,29
14,16,17
13,15,17
20,21,22
17,18,20
13,15,18
20,21,23
17,18,21
18,19,21
17,19,20
14,16,18
19,20,23
13,16,17
17,18,22
14,17,18
20,22,23
13,16,18
17,19,21
13,15,19
20,21,24
17,20,21
19,21,23
14,16,20
18,19,23
19,20,25
14,17,19
14,18,19
20,22,25
20,21,25
17,20,22
13,15,20
20,23,24
14,16,21
14,17,20
20,21,26
17,20,23
20,23,25
13,15,21
20,22,26
14,18,20
19,20,26
14,17,21
17,21,22
13,15,22
14,18,21
19,20,27
14,17,22
14,16,23
20,24,25
20,22,27
17,21,23
13,15,23
14,18,22
19,20,28
18,19,26
19,23,25
20,22,28
20,24,26
17,22,23
17,21,24
14,17,23
17,20,24
13,15,24
19,23,26
18,19,27
20,22,29
20,24,27
14,16,25
20,25,26
17,20,25
19,23,27
13,15,25
14,17,24
18,19,28
17,21,25
20,24,28
17,20,26
20,25,27
14,16,26
13,15,26
19,23,28
17,21,26
20,24,29
14,17,25
18,19,29
17,20,27
17,22,25
20,25,28
19,25,26
19,23,29
17,21,27
20,26,27
17,22,26
20,25,29
17,20,28
14,17,26
19,25,27
17,21,28
13,15,27
17,22,27
20,26,28
14,16,27
17,20,29
13,15,28
14,17,27
20,26,29
19,26,27
17,22,28
20,27,28
14,16,28
17,21,29
19,25,28
14,17,28
13,15,29
19,26,28
17,22,29
19,25,29
20,27,29
19,26,29
14,18,23
19,20,29
20,28,29
19,27,28
20,23,26
19,27,29
14,18,24
20,21,27
17,23,24
13,16,20
20,23,27
13,16,21
17,23,25
19,21,25
19,28,29
20,21,28
17,18,23
14,18,26
19,21,26
14,19,20
17,18,24
20,21,29
17,23,26
14,18,27
17,24,25
17,19,23
20,23,28
19,21,27
13,17,18
13,16,23
20,23,29
17,24,26
19,21,28
14,18,28
17,23,27
17,18,26
14,20,21
17,19,25
17,24,27
17,23,28
19,21,29
17,18,27
17,25,26
14,20,22
17,19,26
17,24,28
17,23,29
13,18,19
17,25,27
13,16,25
14,20,23
17,19,27
14,21,22
17,24,29
17,25,28
13,18,20
14,20,24
13,16,26
17,19,28
14,21,23
17,18,28
13,17,19
17,26,27
13,16,27
14,20,25
17,19,29
17,25,29
13,19,20
17,18,29
13,17,20
14,21,24
14,22,23
13,16,28
17,26,28
14,20,26
13,19,21
13,17,21
14,21,25
17,27,28
13,16,29
17,26,29
14,20,27
13,17,22
14,21,26
14,22,25
13,20,21
14,20,28
17,27,29
13,19,23
13,17,23
14,21,27
13,18,21
14,22,26
13,17,24
17,28,29
14,21,28
14,23,24
13,20,22
14,19,21
13,18,22
14,22,27
13,17,25
13,21,22
13,18,23
14,22,28
14,23,25
13,20,23
13,17,26
13,19,25
13,21,23
13,20,24
14,23,26
14,24,25
13,19,26
15,16,20
13,17,27
13,18,24
13,21,24
14,19,23
14,23,27
13,22,23
13,20,25
13,17,28
15,16,21
14,15,18
13,21,25
13,19,27
14,23,28
14,15,19
13,17,29
13,20,26
14,25,26
14,24,26
13,18,26
13,22,25
14,19,25
14,15,20
15,16,23
14,25,27
14,24,27
13,20,27
13,22,26
13,18,27
13,19,28
14,15,21
14,25,28
14,19,26
14,24,28
13,22,27
13,23,24
13,20,28
13,19,29
13,18,28
15,16,25
14,19,27
13,22,28
13,20,29
13,23,25
13,18,29
14,26,27
15,16,26
14,15,22
14,19,28
13,21,26
13,23,26
13,22,29
13,24,25
15,16,27
14,26,28
13,21,27
13,23,27
14,15,23
13,24,26
3,4,23
15,16,28
13,23,28
13,21,28
14,15,24
14,27,28
3,4,24
13,24,27
13,25,26
15,16,29
13,23,29
16,17,20
13,25,27
3,4,25
13,24,28
10,12,17
14,15,25
16,17,21
13,21,29
13,25,28
13,24,29
3,4,26
14,15,26
13,26,27
18,20,21
13,25,29
14,15,27
3,4,27
16,17,23
18,20,22
13,26,28
14,15,28
18,20,23
14,29
13,26,29
3,4,28
18,21,22
13,27,28
16,17,25
10,12,20
3,4,29
18,20,24
13,27,29
16,17,26
18,21,23
10,12,21
18,22,23
15,17,18
13,28,29
16,18,20
16,17,27
18,21,24
15,17,19
16,18,21
18,20,26
10,12,23
15,17,20
16,17,28
15,18,19
18,20,27
18,23,24
18,22,26
18,21,26
15,17,21
16,17,29
16,20,21
16,18,23
15,18,20
18,22,27
15,17,22
18,21,27
15,18,21
15,19,20
10,12,26
18,23,26
18,22,28
18,21,28
15,18,22
15,17,23
18,22,29
18,24,26
15,19,21
16,20,23
10,12,27
18,21,29
15,17,24
15,18,23
16,18,26
18,24,27
10,12,28
15,17,25
16,18,27
15,18,24
18,24,28
16,21,23
15,19,23
16,20,25
18,23,27
16,18,28
15,17,26
18,24,29
18,23,28
16,18,29
15,17,27
16,20,26
18,26,27
15,18,26
10,12,29
15,19,25
16,21,25
18,26,28
16,20,27
15,17,28
15,18,27
15,20,21
18,27,28
18,26,29
15,19,26
15,17,29
15,18,28
16,21,26
18,23,29
18,27,29
16,23,25
16,20,28
15,20,22
18,20,28
15,19,27
15,18,29
15,20,23
16,23,26
18,20,29
15,19,28
16,20,29
16,21,27
15,21,22
18,28,29
16,23,27
15,19,29
15,20,24
15,21,23
16,21,28
16,23,28
15,20,25
16,23,29
16,21,29
15,21,24
7,11,28
15,21,25
15,20,26
16,25,26
15,22,23
21,22,23
16,25,27
23,24,25
15,21,26
24,25,26
25,26,27
16,26,27
15,23,24
10,13,15
24,25,27
26,27,28
16,26,28
25,26,28
10,13,16
15,23,25
27,28,29
23,25,26
25,26,29
10,14,15
16,26,29
10,13,17
15,24,25
16,27,28
25,27,28
15,24,26
16,27,29
25,27,29
15,23,26
23,26,27
23,25,27
10,14,16
10,13,19
10,15,16
23,25,28
16,28,29
15,25,26
25,28,29
15,23,27
10,13,20
10,15,17
23,26,28
10,14,17
15,25,27
15,23,28
10,13,21
23,25,29
23,26,29
15,26,27
15,23,29
15,25,28
10,14,19
10,13,22
10,16,17
10,15,19
15,24,27
15,26,28
15,25,29
10,14,20
15,24,28
15,26,29
10,15,20
15,27,28
10,13,23
24,25,28
15,24,29
10,14,21
10,15,21
10,13,24
24,25,29
23,27,28
10,14,22
15,27,29
22,25,26
10,15,22
10,17,19
23,27,29
10,14,23
15,28,29
10,15,23
10,17,20
22,25,27
10,16,20
10,14,24
10,15,24
10,13,26
22,26,27
22,25,28
10,16,21
10,17,21
10,13,27
22,26,28
22,25,29
10,17,22
10,14,26
26,27,29
10,13,28
10,19,20
10,16,23
22,27,28
10,15,26
10,17,23
23,28,29
10,14,27
10,19,21
10,13,29
22,27,29
10,17,24
10,14,28
10,15,27
26,28,29
22,26,29
10,20,21
10,15,28
10,16,26
10,17,26
10,20,22
10,16,27
15,21,27
10,15,29
23,24,26
16,25,28
22,28,29
10,20,23
10,19,23
10,16,28
15,21,28
16,25,29
10,21,22
10,20,24
10,17,27
23,24,27
10,16,29
15,22,25
10,21,23
10,17,28
23,24,28
15,21,29
15,22,26
22,23,25
10,21,24
10,22,23
10,20,26
23,24,29
10,17,29
10,19,26
22,23,26
15,22,27
15,20,27
10,20,27
10,19,27
22,23,27
24,26,27
15,22,28
15,20,28
10,20,28
21,22,25
10,19,28
22,23,28
15,20,29
10,20,29
10,23,24
21,23,24
24,26,28
15,22,29
10,22,26
21,22,26
10,19,29
24,26,29
10,22,27
21,22,27
24,27,28
10,23,26
21,23,25
22,23,29
10,22,28
21,24,25
24,27,29
21,22,28
21,23,26
10,23,27
10,22,29
7,11,29
21,23,27
10,24,26
24,28,29
10,23,28
10,21,26
21,23,28
10,24,27
21,24,26
21,25,26
10,23,29
21,22,29
21,23,29
10,24,28
21,24,27
10,21,27
21,25,27
7,9,14
2,3,19
10,24,29
7,8,18
4,6,23
10,21,28
21,25,28
7,9,15
21,26,27
2,3,20
21,24,28
10,26,27
4,6,24
10,21,29
7,9,16
21,25,29
2,3,21
21,26,28
21,24,29
7,8,19
4,6,25
10,26,28
8,9,23
1,2,18
10,26,29
21,27,28
7,9,18
8,9,24
4,6,26
10,27,28
1,2,19
2,3,22
21,26,29
21,27,29
8,9,25
7,9,19
4,6,27
2,3,23
1,2,20
