au_authid,au_name,bo_bookid,bo_title,bo_publisher,bo_year,bo_month,bo_pages,bo_vol,bo_num,bo_loc,bo_class,bo_note,bo_annote,ic_collid,ic_title,ic_bktitle,ic_year,ic_month,ic_pages,ic_vol,ic_num,ic_loc,ic_class,ic_note,ic_annote,mi_miscid,mi_title,mi_howpub,mi_confloc,mi_year,mi_month,mi_pages,mi_vol,mi_num,mi_loc,mi_class,mi_note,mi_annote,ma_manid,ma_title,ma_org,ma_year,ma_month,ma_pages,ma_vol,ma_num,ma_loc,ma_class,ma_note,ma_annote,ip_inprocid,ip_title,ip_bktitle,ip_year,ip_month,ip_pages,ip_vol,ip_num,ip_loc,ip_class,ip_note,ip_annote,ar_articleid,ar_title,ar_journal,ar_year,ar_month,ar_pages,ar_vol,ar_num,ar_loc,ar_class,ar_note,ar_annote,tr_techid,tr_title,tr_inst,tr_year,tr_month,tr_pages,tr_vol,tr_num,tr_loc,tr_class,tr_note,tr_annote
"11","ANDERSON,Olga","book11","Simply Visual Basic .NET. ","Jessica Kingsley Publishers     ","1999","Nov","792-798","19","2"," Yerevan","Distributed Informatics","jmcronguhnyc","wqmihynmpyepbwydaltu","inc11","Percentile optimization in uncertain Markov decision processes with application to efficient exploration.        ","Simply Visual Basic .NET. ","1984","Sep","1859-1875","29","14"," Canberra","Theory of Computation","avqlpamzdmzvb","ftfaoayjlnwzmkmgfqt","misc11","Asymmetric boosting.        ","howpub11"," Yerevan","1985","Jan","1983-1987","8","10"," Yerevan","Theoretical Computer Science","ylqgemhfpufmfuyz","dnqqazaidadxwocfrppj","man11","Discriminative Gaussian process latent variable model for classification.        ","EAPLS _ European Association for Programming Languages and Systems ","1992","Apr","933-938","9","25"," Canberra","Human Computer Interaction","nvsaspn","yfvvxggpapfughxsasbvjcgetpleovhvi","InProc11","Comparison of the expressiveness of Timed Automata and Time Petri Nets","Simply Visual Basic .NET. ","2005","SEP","131--136","25","70"," Yerevan","Universal Access","kpfyvhyjnteib","uomkpggftpwsxamhio","art11"," Some problems et results on Infinite graphs,","15th Annual Conference on Combinatorial Mathematics","1890","Mar","590-593","26","16"," Brussels","Theoretical Computer Science","ginnzamrm","imcskwbceiqjd","tech11","New algorithms to color graphs and find maximum cliques","Iliff School of Theology ","1997","Sep","1919-1932","26","15"," Canberra","Parallel and Distributed Computing","gpvjlobaufv","jzojomvxmrghm"
"12","THOMAS,Paraskeva","book12","JavaScript : pocket reference. ","John Wiley & Son","1994","Jun","977-978","3","28"," Canberra","Artificial Intelligence","yjifgtlrd","ciena","inc12","Unsupervised prediction of citation influences.        ","JavaScript : pocket reference. ","1994","Sep","1410-1426","27","29"," Vienna","Computer Graphics","fuulmiacrtol","zopajscchfszjgpclhubxmktihu","misc12","Linear and nonlinear generative probabilistic class models for shape contours.        ","howpub12"," Canberra","2000","Mar","636-652","4","8"," Canberra","Programming Languages and Software Engineering","bbkeguhhchkrlundejt","necwirbne","man12","Experimental perspectives on learning from imbalanced data.        ","ECCAI - European Coordinating Committee for Artificial Intelligence ","1985","Jun","1290-1293","14","24"," Vienna","Applied and Discrete Mathematics","hhcohgqnjcqzqjimpfhk","axhlyxggrbxvjbtt","InProc12","Comparison of Different Semantics for Time Petri Nets","JavaScript : pocket reference. ","2005","OCT","197--204","21","84"," Canberra","Applied and Discrete Mathematics","zbcoeohujxdvezmvmrx","nyclirfpnzxweunjdazlx","art12"," Construction Properties of Combinatorial Deltahedra,","Quartely  of Mathematics","1989","Jun","1448-1464","20","14"," Belmopan","Computer Graphics","bueivypwgfeawkowmicmtrehr","trbfqsb","tech12","A simple linear time algorithm for embedding maximal planar graphs","Jones International University ","1987","Nov","1073-1087","0","16"," Vienna","Parallel and Distributed Computing","ahiwivwrzdjkvucpckznsyniucwtxlqg","iwwpiqvqwxkgjhe"
"13","JACKSON,Philip","book13","Flash MX : creative web animation and interactivity.","Higher Education     ","1990","Sep","321-322","29","6"," Vienna","Parallel and Distributed Computing","mfuumqnill","lfetaxkluqynmtyxitzucdwlbadoask","inc13","Non isometric manifold learning: analysis and an algorithm.        ","Flash MX : creative web animation and interactivity.","1989","Feb","1291-1304","21","6"," Nassau","Computational Biology","zxvurdtflvuzunigibulgu","aijuccpfudffdshmduq","misc13","Bottom up learning of Markov logic network structure.        ","howpub13"," Vienna","1985","May","1204-1217","7","26"," Vienna","Human Computer Interaction","upzujhp","ojlgayvjvgquwwfdcdoip","man13","Learning from interpretations: a rooted kernel for ordered hypergraphs.        ","IBFI Schloß Dagstuhl ","1990","Jun","1163-1164","10","15"," Nassau","Computer Systems and Networks","qhhrmzjehb","yhvhrlnwikvs","InProc13","Rom'eo: A Tool for Analyzing time Petri nets","Flash MX : creative web animation and interactivity.","2005","JUL","122--135","28","0"," Vienna","Artificial Intelligence","maaifnmljgyhibpvrrgnicw","kxpfj","art13"," Maximal Planar Graphs et Diagonal Operations,","Annals of Discrete Mathematics","1979","Dec","969-980","10","1"," Porto","Parallel and Distributed Computing","ejzaptharjnxwwtrarnfpip","ypplvhhlaterrbh","tech13","Quantum clustering algorithms.    ","Mesa State College ","1995","Sep","371-373","12","17"," Nassau","Computer Systems and Networks","xadmsrlbcazlghsuhynfkkjkxae","haewqa"
"14","WHITE,Sophia","book14","Essential system administration.","McGraw-Hill Higher Education     ","1986","Aug","1517-1517","16","25"," Baku","Software Engineering","taptbkicmtgbilmlprtxoncl","jqopitqphm","inc14","Hierarchical maximum entropy density estimation.        ","Essential system administration.","2000","Mar","308-320","5","6"," Manama","Programming Languages and Methodologies","ajgydrgkfnmgdvbp","ynmxtvltuypvex","misc14","Mixtures of hierarchical topics with Pachinko allocation.        ","howpub14"," Baku","1992","Jan","1672-1677","10","15"," Baku","Computer Systems and Networks","xcpmpbhqkddfuwkaeqxadofyn","qwiogtlbmsgdifcxavutnrmpsjxf","man14","A kernel path algorithm for support vector machines.        ","IFIP - International Federation for Information Processing ","1982","Aug","1435-1443","9","24"," Manama","Theory of Computation","hegcwthuhtlxlicsgfrnbjjogvftfsxys","alrhzypwdnhlkcgwrjjs","InProc14","An efficient method for computing exact state space of Petri nets with stopwatches","Essential system administration.","2005","JUL","305--421","11","76"," Baku","Computational Biology","fmzxgipdeinfgtyyimqh","gnyptzgozarwickhxcnjlhdeygw","art14"," On a Conjecture of Foulds et Robinson about Deltahedra,","Discrete Appl. Math.","1989","Mar","1524-1526","9","0"," Buenos Aires","Computational Science","ulonrclrqjbihicfgmzvfenpjz","uugvvzzucymwwm","tech14","Learning random walks to rank nodes in graphs.     ","Metropolitan State College of Denver ","2001","Mar","275-286","4","1"," Manama","Human Computer Interaction","kiexhromihywtbiwnhycnnrisb","wzanaigwjuayjufpnr"
"15","HARRIS,Teresia","book15","Oracle SQL*Plus : pocket reference. ","Peter Lang Publishing","1993","Sep","1264-1273","2","3"," Nassau","Computational Biology","bhwrtgva","ltywbzphkekkvfhtpmbaosaj","inc15","CarpeDiem: an algorithm for the fast evaluation of SSL classifiers.        ","Oracle SQL*Plus : pocket reference. ","1983","May","129-146","13","9"," Dhaka","Programming Languages and Software Engineering","rovzqrpjs","vqhslieqmspsfwijmemxawjkmhhcdwjxk","misc15","Three new graphical models for statistical language modelling.        ","howpub15"," Nassau","1982","Nov","480-493","7","23"," Nassau","Applied and Discrete Mathematics","lejrwklxdqvdzvjttrlzifvuolt","dxtlcwaickhpduxlyidnxvpnuwlcoqeyj","man15","Dirichlet aggregation: unsupervised learning towards an optimal metric for proportional data.        ","FIFF - Forum InformatikerInnen für Frieden und gesellschaftliche Verantwortung e.V. ","1985","Jun","1618-1632","8","28"," Dhaka","Networking","vaedwpvzznn","ebpthkzzeq","InProc15","A translation based method for the timed analysis of scheduling extended time Petri nets","Oracle SQL*Plus : pocket reference. ","2004","DEC","63-92","8","17"," Nassau","Computer Graphics","nnsdclxxpgjhauxffawpucepbx","bqxvjrampzbukznfombicr","art15"," The smallest cubic graphs of girth 9,","33rd Annual Meeting of the Australian Mathematical","1987","Feb","713-714","11","14"," Yerevan","Database Systems","kiaacnglbgxbxzoyycrwwefjzolgs","jaqizougxfvmgwfpaqhhhny","tech15","Uncovering shared structures in multiclass classification.      ","Naropa University ","1991","Jun","1576-1584","21","8"," Dhaka","Computational Science","retmrfsjmcelnmfjfxwlseqxejqbxigstg","pwpze"
"16","MARTIN,Victor","book16","Handbook of geometric programming using Open Geometry GL. ","Prentice Hall","1981","Feb","1550-1558","21","7"," Manama","Network and Software Security","kyiakuynlzozygrcgjvjvg","aqrjbkbkylcjekeokfgquntanhhiqhcgxt","inc16","Amir Massoud Farahmand, Csaba Szepesvári, Jean Yves Audibert: ","Handbook of geometric programming using Open Geometry GL. ","1987","Jun","969-980","23","27"," Bridgetown","Parallel and Distributed Computing","bhzstrsqkbgymcappvawvtejonb","iaiurogjsnngrluucupvirlmmpl","misc16","Fast and effective kernels for relational learning from texts.        ","howpub16"," Manama","1981","Jun","114-132","9","2"," Manama","Applied and Discrete Mathematics","logmipiqueewko","gnksdiulyvaktaqjiyvrpsppjia","man16","Transductive regression piloted by inter manifold relations.        ","ALP - The Association of Logic Programming ","1997","Dec","91-103","12","17"," Bridgetown","Programming Languages and Methodologies","ujsqpkzduspmbssi","zqkohir","InProc16","Structural Translation from Time Petri Nets to Timed Automata","Handbook of geometric programming using Open Geometry GL. ","2004","SEP","212-218","16","25"," Manama","Computer Systems and Networks","swtbiuqomohnjnltsqtex","dghfzxdyosmxg","art16"," Un code pour les graphes planaires et ses applications,","Discrete Appl. Math","1995","Feb","614-628","12","5"," Canberra","Computer Systems and Networks","tneunpeujkjoovlmmzybvbjnxjipxq","uixjeluua","tech16","Two view feature generation model for semi supervised learning.      ","National Theatre Conservatory ","2000","Nov","297-306","18","13"," Bridgetown","Software Engineering","gmmmmgockgwjeknay","wvlehw"
"17","THOMPSON,Vladimirus","book17","Schaum's outline of theory and problems of software engineering. ","Psychology Press","1985","Mar","1541-1550","17","27"," Dhaka","Computational Biology","jvynukcvrefeidszysmj","pgiohpetxhtywghunlzosmneggmyv","inc17","Manifold adaptive dimension estimation.        ","Schaum's outline of theory and problems of software engineering. ","1991","Jul","489-498","22","19"," Minsk","Network and Software Security","mevklwvstbsomtboqviobkooexapocqnk","ayctxnqua","misc17","Dimensionality reduction and generalization.        ","howpub17"," Dhaka","1999","Nov","1578-1585","6","8"," Dhaka","Bioinformatics","trhmgzagzwbpmsrfawbg","egnedq","man17","Multifactor Gaussian process models for style content separation.        ","CSCSI - Canadian Society for Computational Studies of Intelligence ","1995","Sep","649-661","15","18"," Minsk","Programming Languages and Software Engineering","ordtrfhxpmvdnqto","qfybqjlcibavbbbemnrn","InProc17","Time Petri Nets with Inhibitor Hyperarcs. Formal Semantics and State Space Computation","Schaum's outline of theory and problems of software engineering. ","2004","JUN","34-38","26","78"," Dhaka","Database Systems","bgwxbueldqtnwgcyskc","wivqumjbfxlqrvhaeibijditnpnikswdwv","art17"," Enum?ation des graphes planaires ?l'aide de s?ies","Combinatorics Probability et Computing","1975","Jan","1875-1890","18","6"," Vienna","Computational Science","ewhhqtneqmhj","qsmzjdsmetufbnhka","tech17","Scalable training of L  regularized log linear models.      ","Nazarene Bible College ","1988","Apr","1217-1232","15","16"," Minsk","Distributed Informatics","piznrhchaebvxmixjjctbhomkts","aojxbmoilfwlknkabajrvbickdv"
"18","GARCIA,Xenia","book18","Java Web services for experienced programmers. ","Sage Publications     ","1984","Apr","404-419","1","25"," Bridgetown","Programming Languages and Software Engineering","npkobdjrulfadursgybymzuvrsskd","fzcuemith","inc18","Combining online and offline knowledge in UCT.        ","Java Web services for experienced programmers. ","1982","Aug","1158-1164","16","3"," Brussels","Theoretical Computer Science","wogkdqygkqbkbbwwzhuslexgnkdsytf","wvlmlgbokfyyhbvcqhurczvmgyxzopntuw","misc18","Unsupervised estimation for noisy channel models.        ","howpub18"," Bridgetown","1986","Jun","289-299","10","14"," Bridgetown","Computational Science","kfvvfbfnfbwgartiiq","nclntingngddq","man18","Hybrid huberized support vector machines for microarray classification.        ","IJCAI - International Joint Committee on Artificial Intelligence (IJCAI-95) ","1994","Aug","1242-1248","15","20"," Brussels","Network and Software Security","nvhhewjs","mfgkkyhjdqdnolufpexxlonvhknrilnf","InProc18","State class Timed Automaton of a Time Petri Net","Java Web services for experienced programmers. ","2003","SEP","59--76","3","43"," Bridgetown","Human Computer Interaction","rlpczdjtogcvhkbfkikmewzkaehssemlrb","labdoyxpekkehlyc","art18"," Planar maps are well labeled trees,","Soci??Math?atique de France","1972","Jan","1751-1752","24","4"," Baku","Parallel and Distributed Computing","mznflopwkiwqoejwfjcxpijgicjna","mvdegyqjwaewxqs","tech18","Multiclass core vector machine.      ","Arkansas Baptist College ","1997","Dec","726-733","20","19"," Brussels","Software Engineering","oxvmskbwjzm","yqlutapfdi"
"19","MARTINEZ,Thomas","book19","Schaum's outline of operating systems","Springer     ","1993","Mar","1974-1975","24","5"," Minsk","Database Systems","kzszocerxynvpapnsgacayvxhl","umgfquhbegwkb","inc19","Robust non linear dimensionality reduction using successive   dimensional Laplacian Eigenmaps.        ","Schaum's outline of operating systems","1986","Nov","1131-1132","10","23"," Belmopan","Numerical Analysis","zzpscamhlzbrciti","cdyuleadilbhpa","misc19","Revisiting probabilistic models for clustering with pair wise constraints.        ","howpub19"," Minsk","1989","Jan","780-794","8","23"," Minsk","Programming Languages and Software Engineering","syckwwcmtjxjzpje","vseslkxogjip","man19","On learning with dissimilarity functions.        ","MAA - Mathematical Association of America ","1993","Nov","154-166","9","24"," Belmopan","Applied and Discrete Mathematics","wcaxpxbyuyifyg","bozehxwjmjplyytzmzdlp","InProc19","Expressiveness and analysis of scheduling extended time Petri nets","Schaum's outline of operating systems","2003","JUL","182--194","30","26"," Minsk","Numerical Analysis","arpctxhvamzhzmifjyglns","tckymtptjqcqtpaepj","art19"," Fast generation of cubic graphs,","Discrete Math.","1981","Jan","568-583","13","14"," Nassau","Database Systems","svxoclqjorrruzpbsgccul","uhrthnspvaijw","tech19","The rendezvous algorithm: multiclass semi supervised learning with Markov random walks.      ","Arkansas State University ","1983","May","1418-1430","27","8"," Belmopan","Numerical Analysis","wrryxugupbdvcalaomwj","jxjvxanmdfroqhzvmwdgrachnpnyfmnn"
"20","SMITH,Pantaleon","book20","OpenGL game programming.","Westview Press     ","1995","Mar","523-528","4","8"," Brussels","Universal Access","vjrajpcrn","ejybvtrmolzqbqrhywbruhbazensz","inc20","Gradient boosting for kernelized output spaces.        ","OpenGL game programming.","1991","Oct","1270-1277","2","12"," Porto","Networking","dksicnanqndabrmsgsugwcywzfmijsye","xzufubsvqugye","misc20","Comparisons of sequence labeling algorithms and extensions.        ","howpub20"," Brussels","1999","Jul","1464-1472","7","27"," Brussels","Applied and Discrete Mathematics","cgnnb","rxyxeidviebrtdhkgdgavkfutpnxa","man20","Winnowing subspaces.         ","ODMG - Object Database Management Group ","1992","Dec","548-552","7","8"," Porto","Human Computer Interaction","wdobmjkdgzwdcxwqlcoflcjkepkus","voxlqmrxnylfbqipveiunxbzwciny","InProc20","A zone-based method for Computing the State Space of a Time Petri Net","OpenGL game programming.","2003","SEP","372--391","6","3"," Brussels","Programming Languages and Methodologies","mnugypbkyxmwghanfoojcejqhtjaraxj","krdfkzko","art20"," A bijective census of rooted planars maps,","Can. J. Math.","1996","Aug","282-282","22","15"," Manama","Bioinformatics","cprhreunnkqjppkspynva","bhatqjirgwypptgi","tech20","Focused crawling with scalable ordinal regression solvers.      ","Arkansas Tech University ","1986","Sep","642-643","29","3"," Porto","Theory of Computation","rctoxqeskiu","ahmprqlwzqof"
"21","SMITH,Alexius","book21","Programming with Java : based on Schaum's outline of programming with Java. ","W. W. Norton & Company     ","1986","May","817-834","26","11"," Belmopan","Computer Systems and Networks","knyapxvnsqvqpkewhjgzn","ionmljleexjbvhnpptcpvpkhhmlyfo","inc21","Bayesian actor critic algorithms.        ","Programming with Java : based on Schaum's outline of programming with Java. ","1993","Jul","1441-1451","7","15"," Buenos Aires","Computational Science","dtyvjiddpfoqvsjdmkkbpmpcr","qdxitglyupttycpdfzovffpfyixcnis","misc21","Multi task learning for sequential data via iHMMs and the nested Dirichlet process.        ","howpub21"," Belmopan","2000","Jan","1697-1698","4","9"," Belmopan","Theory of Computation","xywticqrheeqdoq","tbmxenjg","man21","What is decreased by the max sum arc consistency algorithm?          ","Object-Orientation Ph.D. Network ","1992","Aug","1909-1916","2","5"," Buenos Aires","Networking","uzjxxiynymlodbdlqumsnsmu","kmgqfsehzqjgawhflvap","InProc21","Semantics of Biological Regulatory Networks","Programming with Java : based on Schaum's outline of programming with Java. ","2003","SEP","125--131","15","7"," Belmopan","Software Engineering","axmvffpfyyntmkfaysjinnmwig","xsmiebcatezqlubmps","art21"," Electronic et steric factors in the stability of","To appear in  of Graph Theory","1970","May","35-38","10","4"," Dhaka","Computer Graphics","ydcbnpzzpmgjjwuj","yzlma","tech21","Learning distance function by coding similarity.      ","Central Baptist College ","1988","Aug","1857-1864","6","19"," Buenos Aires","Computer Graphics","anusaloftsmgkmzmd","ururedhbgq"
"22","JOHNSON,Blasius","book22","Queueing systems. ","Allyn & Bacon/Longman   ","1996","Apr","1355-1361","29","1"," Porto","Computational Biology","zevtrtdfnfgrjanqwokfvazocjvwl","ehmcnuhtcvzcknedsqsxmrluvjhq","inc22","Exponentiated gradient algorithms for log linear structured prediction.        ","Queueing systems. ","1982","Mar","1109-1126","4","17"," Yerevan","Programming Languages and Methodologies","pfbkzdvwh","sgxppv","misc22","Regression on manifolds using kernel dimension reduction.        ","howpub22"," Porto","1994","Aug","845-855","7","7"," Porto","Network and Software Security","nzjucvibkefv","rsmkpnjqrfljeigmvhqh","man22","Multi task reinforcement learning: a hierarchical Bayesian approach.          ","AAAI - American Association for Artificial Intelligence ","1995","Jun","1503-1511","1","7"," Yerevan","Applied and Discrete Mathematics","jgmtii","oiznxwsrwskcuw","InProc22","Analyzing temporal constraints with binary decision diagrams","Queueing systems. ","2000","OCT","194--201","16","75"," Porto","Theory of Computation","kxhxwtofpagt","guaxfkndrbc","art22"," A constructive Enumeration of Fullerenes,","Communication at Ontario Math. Conference","1995","Dec","31-37","10","0"," Bridgetown","Network and Software Security","nlifmtcegtuzo","gqxqoqzqmhphyx","tech22","Structural alignment based kernels for protein structure classification.      ","Harding University ","1986","Jul","1886-1904","24","19"," Yerevan","Computer Graphics","zjheusqbe","zsxoiutzmatxaydsgnzyoikx"
"23","WILLIAMS,Carolus","book23","Schaum's outline of fundamentals of relational databases. ","Annual Reviews    ","1990","Sep","294-294","13","12"," Thimphu","Network and Software Security","sxxieeukhkhopfcbxexwtyxnxzj","ijkmda","inc23","Best of both: a hybridized centroid medoid clustering heuristic.        ","Schaum's outline of fundamentals of relational databases. ","1991","Jan","1016-1016","20","19"," Canberra","Computer Systems and Networks","yaqhdwgwbbtniixtrbtcmvtknve","kqhbmtc","misc23","Learning state action basis functions for hierarchical MDPs.        ","howpub23"," Thimphu","2000","Oct","320-336","9","9"," Thimphu","Theory of Computation","spwmhuwikj","hwxgezwdiovihyehjpfykbivacps","man23","Beamforming using the relevance vector machine.          ","ACL - Association for Computational Linguistics ","1999","Oct","1401-1419","1","7"," Canberra","Database Systems","qfxvsdgwzspiptcncasbfdoulretsr","kcagdebeludvpqevtivtuhlvzhstgp","InProc23","Discrete Time approach of Time Petri net for real-Time Systems Analysis","Schaum's outline of fundamentals of relational databases. ","2001","OCT","236--260","3","70"," Thimphu","Applied and Discrete Mathematics","xrkavqtxrttxfjxkjlxerxzga","hwutdfafmodsznq","art23"," PentHex Puzzles: A reliable et Efficient Top-Down Approach to Untersuchungen zum Vierfarbenproblem, ","The Chemical Physics of the Fullerenes","1996","Oct","1372-1387","20","17"," Minsk","Distributed Informatics","ojkcrhhc","cknwyoruzb","tech23","Discriminative learning for differing training and test distributions.      ","Henderson State University ","1983","Jun","1096-1110","7","19"," Canberra","Applied and Discrete Mathematics","ksiyoqbrmioau","yrjlachotiqkoopujf"
"24","JONES,Demetrius","book24","Macromedia Flash MX : creating dynamic applications. ","Bedford, Freeman & Worth","1983","Mar","1592-1596","8","12"," Praia","Bioinformatics","yxwrs","ujuykrpjrvzhuctavnqssqcda","inc24","Recovering temporally rewiring networks: a model based approach.        ","Macromedia Flash MX : creating dynamic applications. ","1999","Mar","1237-1247","15","8"," Vienna","Applied and Discrete Mathematics","jpsfaenuqvhngddpdmudpbpjj","xuudlojngniybxntmpjrwjltevhijq","misc24","A fast linear separability test by projection of positive points on subspaces.        ","howpub24"," Praia","1986","Mar","266-271","2","18"," Praia","Programming Languages and Methodologies","kyemjona","jwulhdxasjjddhpevcksgzojydhqqrjw","man24","Learning to combine distances for complex representations.          ","ACS - Australian Computer Society ","1989","Oct","320-334","8","30"," Vienna","Human Computer Interaction","jkgwfiuzscnokscoaxkyrrvb","bvdmpisckrhhsntt","InProc24","Improving the calculus of the marking graph of Petri Net with BDD like structure","Macromedia Flash MX : creating dynamic applications. ","2002","AUG","131--136","28","98"," Praia","Artificial Intelligence","tqskbhlffotsxmdtkbjjjtmkgnfc","inmxmepqdug","art24"," The reducibility of maps, ","Submitted to J. of Alg.","1996","Dec","448-461","29","8"," Brussels","Bioinformatics","tszosvo","kzyrvgnlgfpusgrr","tech24","Solving multiclass support vector machines with LaRank.      ","Hendrix College ","1995","Feb","178-180","18","23"," Vienna","Parallel and Distributed Computing","tsvgypyxhexfmhqdwvdhigyzrjeceso","bquxubt"
"25","BROWN,Franciscus","book25","Schaum's outline of HTML. ","Publishing Group     ","1995","Jun","797-803","1","12"," Sarajevo","Computer Systems and Networks","mlqdjqfhcdjrf","uhspgiwyeqvqk","inc25","Efficient inference with cardinality based clique potentials.        ","Schaum's outline of HTML. ","1989","Jan","1754-1764","9","18"," Belmopan","Networking","mcemueltqahicsdzboarlymskmsvmsaga","bqlwtfszsprovtbhizfmrf","misc25","Multi armed bandit problems with dependent arms.        ","howpub25"," Sarajevo","2001","Dec","1490-1491","6","13"," Sarajevo","Artificial Intelligence","qbnveiiptjhfpxxhpxgrut","dwhbbwvrlmgxrofqxcqpzvxishgga","man25","Local learning projections.          ","BCS - The British Computer Society ","1989","Aug","714-724","7","17"," Belmopan","Parallel and Distributed Computing","qkvidkecrnjz","knsqjdopybtlubiizb","InProc25","Coupling Binary Decision Diagrams with Time Petri  Net","Schaum's outline of HTML. ","2000","MAY","197--204","19","25"," Sarajevo","Computational Biology","uciwzkv","imlxrazddjszvlvdhogcmwxih","art25"," Une contribution au probl\`eme des quatre couleurs,","PNAS","1969","Apr","33-50","2","13"," Belmopan","Programming Languages and Software Engineering","hsjeqtalwriuatjdrnqsfz","yimwmjlysswoafofmwhmsxgpqb","tech25","Efficiently computing minimax expected size confidence regions.       ","John Brown University ","1994","Oct","15-33","4","27"," Belmopan","Parallel and Distributed Computing","axvtuhsrwcqpotsyinmigoklqyyepzrp","clmbsckszuyiqoqoofxokxsyvxtp"
"26","DAVIS,Josepha","book26","Linux for Windows administrators. ","Blackwell Publishing     ","1994","Nov","516-524","27","26","Washington DC","Theory of Computation","eqfeycyiewpg","fulirzilafrh","inc26","Sparse probabilistic classifiers.        ","Linux for Windows administrators. ","1983","Jul","242-250","14","14"," Porto","Computer Systems and Networks","dxteisxzgxusuxkenbskkgk","plsljtcxekmoknjgpljdqxwbfofwro","misc26","Learning for efficient retrieval of structured data with noisy queries.        ","howpub26","Washington DC","1999","Jul","223-235","2","6","Washington DC","Computer Systems and Networks","bbftabafbevbofkijzqsdan","lmqltzfgwu","man26","On learning linear ranking functions for beam search.          ","OCG - Austrian Computer Society ","1984","Jun","1774-1786","10","16"," Porto","Computer Systems and Networks","irkladvn","gzgtcehryeiafgthuurvcl",,,,,,,,,,,,,"art26"," La th\'eorie de Ramsey,"," Hochschulskriptum 810/a/b  Bibliographisches Institut Mannheim","1913","Dec","1380-1385","6","6"," Porto","Bioinformatics","hcpotgsjcmasoeyoxchg","kvmymk","tech26","Multiple instance learning for sparse positive bags.        ","Lyon College ","1991","Dec","1447-1447","11","28"," Porto","Universal Access","fczlevaubearucsyox","gyrcrqyavjvj"
"27","MILLER,Leo","book27","Red Hat Linux 8 bible. ","Cengage Learning","1987","Jul","607-618","17","8","Ottawa","Programming Languages and Methodologies","nwemuaceglljsndbprke","etewippyhvr","inc27","Supervised clustering of streaming data for email batch detection.        ","Red Hat Linux 8 bible. ","1990","Feb","880-890","16","6"," Buenos Aires","Computer Graphics","pqcagtosfacfctgt","pfzkyjtrseotaibqcgwyj","misc27","Analyzing feature generation for value function approximation.        ","howpub27","Ottawa","1984","Jul","399-400","1","27","Ottawa","Theory of Computation","evfykeijnhgymyzgiafzvrvamyyprac","kovahvgcpecppuutjrlwdqza","man27","Modeling changing dependency structure in multivariate time series.          ","SI - Schweizer Informatiker Gesellschaft (Swiss Informaticians Society) ","1994","Jan","22-25","12","16"," Buenos Aires","Applied and Discrete Mathematics","puwdiylpkgrr","yudacmvqeyjfchkhynlkyv",,,,,,,,,,,,,"art27"," A graph colouring algorithm for large scheduling problems,"," Amer. J. Math","1925","Jan","1514-1515","4","15"," Buenos Aires","Computational Science","zpkaziucgpcsic","pgkrkndsjgzni","tech27","Cluster analysis of heterogeneous rank data.        ","Ouachita Baptist University ","1987","Mar","255-273","16","29"," Buenos Aires","Programming Languages and Methodologies","jplgueanmdizteyvexioiwfmzeqh","iqehkpbnfpqma"
"28","WILSON,Lucas","book28","Official Red Hat Linux administrator's guide. ","Elsevier      ","1982","Dec","784-786","29","28","Bejing","Numerical Analysis","pyrdybzuqzwrcymmdtozpgyrwjgzzvyqr","jmcfddyxtzrmvijlamocyozwtpngmuqg","inc28","A bound on the label complexity of agnostic active learning.        ","Official Red Hat Linux administrator's guide. ","1992","Sep","1259-1271","3","22"," Yerevan","Parallel and Distributed Computing","plpulu","wzjdteuzblhohdae","misc28","Reinforcement learning by reward weighted regression for operational space control.        ","howpub28","Bejing","1998","Jun","1669-1683","6","9","Bejing","Theoretical Computer Science","pqsuelvkllfjsfifzjtdonpublz","xffyabrcsvciqisoakchhmayrla","man28","The matrix stick breaking process for flexible multi task learning.          ","CRA - Computing Research Association ","1991","Dec","745-763","9","30"," Yerevan","Network and Software Security","mepwxytxcxwi","picnkztqycfmdgkgp",,,,,,,,,,,,,"art28"," Every one a winner,","Bull. de la soc. Math. de France","1990","Mar","1087-1097","1","19"," Yerevan","Parallel and Distributed Computing","vlrvsomokbpazqyxnxvjawproobfugdbus","itcyqqjzmcdrobnvttjymudn","tech28","Feature selection in a kernel space.        ","Philander Smith College ","1982","Nov","1149-1158","14","12"," Yerevan","Theory of Computation","tcwmaoreitogqzkeyraxincpyqsrh","bcloueznlkwc"
